"","primera_palabra","segunda_palabra","tercera_palabra","cuarta_palabra","quinta_palabra","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip1","minipip2","minipip3","minipip4","minipip5","minipip6r","minipip7r","minipip8r","minipip9r","minipip10r","minipip11","minipip12","minipip13","minipip14","minipip15r","minipip16r","minipip17r","minipip18r","minipip19r","minipip20r","id"
"86","Tecnología","Software","Big data","Ilustraciones","Predicción",4,4,2,3,4,4,2,2,4,5,3,4,5,5,5,4,4,6,8,28,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,3,1,3,4,3,2,4,3,1,3,4,1,2,3,3,2,1,4,1,4,4,2,86
"87","Tecnologia","Poder","Personas","Informacion","Riesgos",1,5,4,4,4,5,1,3,5,4,3,3,4,5,3,3,2,2,1,44,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,4,1,3,3,1,3,4,4,3,3,1,1,1,1,3,3,4,2,1,3,1,1,1,1,87
"88","tecnología","computadora","robot","análisis de datos","futuro",4,5,5,1,2,3,1,1,4,5,3,5,5,5,3,4,5,7,7,55,"Mujer","Posgrado","Ocupado/a en administración o gestión",1,3,2,3,3,4,3,4,4,1,3,1,3,2,1,4,4,2,5,1,1,3,2,1,1,1,88
"89","computadora","mente","automático","rapidez","datos",2,4,2,2,3,3,2,3,2,4,3,4,4,5,5,3,4,7,8,37,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,3,3,1,2,4,3,2,3,2,2,1,3,2,3,3,4,4,2,5,1,2,2,2,89
"90","Probabilidad","Prediccion","Actualidad","Maquina","Asistente",3,1,1,1,4,2,4,1,2,5,3,5,5,5,5,4,5,9,8,23,"Varón","Universitario o terciario","Estudiante",4,4,2,4,3,2,3,4,4,2,4,1,3,4,2,2,3,2,4,2,2,2,1,2,3,2,90
"91","DESUMANIZACION","MIEDO","DESEMPLEO","AUTIMATIZACION","FALTA DE RAZONAMIENTO",1,5,5,5,1,5,1,5,3,2,1,1,1,1,5,1,1,1,1,55,"Mujer","Universitario o terciario","Estudiante",4,3,4,1,1,1,1,5,3,3,3,5,3,3,3,5,3,4,3,3,5,5,3,3,3,3,91
"92","Robots","Chatbots","Programación","Prompts","Research",1,2,3,1,3,2,1,2,3,3,1,3,4,3,3,3,2,7,6,52,"Mujer","Universitario o terciario","Entre trabajos o buscando empleo",4,4,2,3,2,1,2,5,5,3,4,1,1,1,3,3,3,4,5,3,2,4,1,1,3,2,92
"93","Artificial","Manipulacion","Miedo","Increible","Inentendible",1,4,4,4,2,3,2,3,4,3,3,4,3,3,4,3,3,8,8,56,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,2,2,1,5,5,4,4,4,1,1,1,2,2,5,5,5,3,2,2,1,1,1,1,93
"94","chatgpt","robot","escribir","programar","rapidez",1,4,3,4,3,4,2,3,3,3,1,3,5,3,4,1,3,5,5,39,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",3,3,2,2,2,1,1,4,3,2,3,2,1,3,2,2,3,3,3,2,2,4,1,3,2,3,94
"95","computadora","ficcion","dominacion","reemplazo","peligro",2,5,5,5,1,5,1,5,1,2,1,2,1,3,5,1,1,5,6,22,"Mujer","Universitario o terciario","Estudiante",4,4,2,1,1,1,4,5,4,1,2,4,1,5,1,1,3,5,5,1,1,4,1,1,1,5,95
"96","Automatización","Peligro","Masividad","Terminator","Ayuda",3,4,4,4,4,4,2,4,2,4,1,2,4,4,3,2,5,5,6,62,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,3,3,3,4,5,4,4,3,1,4,1,4,3,4,5,5,4,4,1,2,2,1,96
"97","Actualidad","Poderoso","Aplicabilidad","Solución","Problema",2,1,2,1,3,3,2,1,4,5,2,4,4,4,4,4,5,4,4,27,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,3,4,2,2,5,2,3,2,2,1,4,2,2,4,4,4,1,2,5,1,2,2,2,97
"98","Trabajo","Tecnología","Lenguaje","Herramienta","Útil",2,2,2,1,5,2,1,2,1,4,2,4,3,5,5,2,5,4,7,20,"Mujer","Universitario o terciario","Estudiante",4,4,2,3,1,1,1,5,2,4,4,5,1,4,2,1,1,5,3,1,1,5,1,4,2,2,98
"99","Oportunidad","Responsabilidad","Estudiantes","Rol docente","Barrera",3,1,1,1,4,5,1,3,3,5,1,5,1,5,5,2,5,6,8,45,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",2,4,2,2,2,4,4,5,5,1,4,1,1,4,5,1,5,5,5,1,1,4,1,1,1,1,99
"100","Practicidad","Ahorro de tiempo","Sistematización","Automatizacion","Limites",5,3,1,1,5,1,5,1,3,5,3,4,5,5,5,3,5,6,6,49,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,4,4,1,4,4,4,3,4,2,4,2,3,2,3,4,4,2,2,3,3,1,3,2,100
"101","Tecnología","Datos","Internet","Control","Robotica",2,4,4,4,3,4,2,3,5,4,3,5,4,3,4,3,4,4,7,27,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",4,4,1,3,2,2,2,5,3,4,4,2,2,4,2,1,4,4,4,5,2,4,2,5,2,2,101
"102","Futuro","Ciencia-ficción","Tecnología","Avances","Robot",2,3,4,5,1,5,2,5,4,5,3,4,5,4,4,3,2,2,1,33,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,4,1,2,1,3,5,3,3,4,1,3,1,3,2,2,5,5,4,1,3,3,1,2,1,102
"103","Modernidad","Computadora","Máquinas","No humano","Desempleo",3,4,2,3,4,3,3,2,3,4,3,3,4,4,4,2,4,3,3,37,"Varón","Posgrado","Ocupado/a en legales",4,4,4,3,3,2,4,4,2,1,4,4,1,2,3,4,4,4,5,1,2,4,1,1,5,2,103
"104","Información","Ayuda","Contenido","Aliado","Generar",2,1,2,1,4,1,3,1,1,5,4,4,5,5,5,5,5,4,4,48,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,2,2,3,5,5,1,5,1,1,1,1,1,5,5,5,1,1,4,1,3,3,1,104
"105","Automatizacion","Resolucion","Maquina","Rapidez","Comodidad",4,1,1,1,4,2,4,1,1,4,3,4,5,5,4,5,5,8,7,39,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",1,2,3,2,2,1,1,5,4,1,3,4,5,3,2,2,4,5,5,1,2,5,1,1,4,3,105
"106","Robot","Futuro","Cambios","Invensión","Dinero",1,3,1,5,5,5,5,5,5,5,1,5,5,5,5,3,5,2,2,46,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,1,1,1,5,3,5,3,5,1,2,1,1,1,4,3,5,1,1,1,1,1,1,1,106
"107","CHATGPT","Datos personales","OPEN AI","Imágenes","Programación",2,3,2,4,3,4,2,1,3,4,4,4,4,4,4,3,4,8,8,25,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,4,3,2,3,4,3,4,5,4,3,4,2,4,3,2,3,4,1,3,1,4,3,1,107
"108","Trabajo","Tiempo","Peligro","Descubrimiento","Solución",2,5,5,3,3,4,2,1,2,4,1,4,2,5,4,3,5,6,7,24,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,3,2,2,2,1,1,4,4,3,2,2,1,3,2,1,1,3,5,4,1,4,1,2,3,4,108
"109","Facil","Avance","Futuro","Desempleo","Libertad",4,1,4,3,2,4,1,4,4,2,3,1,2,1,1,2,2,9,7,65,"Varón","Posgrado","Ocupado/a en administración o gestión",4,4,2,2,2,3,3,5,5,2,5,1,1,1,5,1,5,5,4,1,1,1,1,1,4,1,109
"110","Tecnología","Curiosidad","Herramienta","Información","Interacción",3,1,1,2,3,2,2,1,3,4,4,5,4,4,4,4,3,5,7,35,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,2,3,5,3,2,3,2,1,2,3,1,2,4,4,2,1,4,1,4,3,2,110
"111","Estadística","Computación","Robot","Automatización","Humano",4,3,3,2,4,2,3,1,3,5,2,4,5,2,4,3,5,8,7,37,"Mujer","Posgrado","Ocupado/a en matemáticas o computación",4,4,3,2,2,3,3,4,4,2,3,4,2,2,4,2,2,4,4,3,2,4,1,3,4,2,111
"112","Cambio","Temor","Maravilloso","Ayuda","Facilidad",5,4,2,2,4,3,3,1,2,4,4,4,4,5,5,4,4,5,7,58,"Mujer","Universitario o terciario","No trabaja o jubilado/a",4,4,4,1,3,1,2,4,5,3,4,3,1,1,1,2,3,4,5,3,3,5,2,2,3,2,112
"113","Novedad","Progreso","Skynet","Herramienta","Desafío",4,4,1,1,5,4,3,1,3,5,5,5,4,4,5,3,5,8,8,26,"Varón","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,4,4,2,2,4,3,1,4,3,4,2,3,1,2,4,5,3,1,3,1,1,2,1,113
"114","Tecnologia","Deshumanizacion","Informacion","Almacenamiento de datos","Rapidez",3,3,3,3,5,1,3,1,3,5,3,5,5,5,3,5,3,8,8,56,"Mujer","Posgrado","Ocupado/a en legales",3,4,4,3,2,2,3,4,4,3,2,2,1,1,2,3,2,4,5,2,3,5,1,1,3,4,114
"115","Solucion","Rapida","Información","Riesgo","Resumen",5,5,2,4,3,4,2,1,3,4,3,5,3,4,5,4,5,4,7,37,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,3,2,1,1,2,5,4,2,5,3,1,1,2,1,3,5,5,4,1,3,1,1,1,1,115
"116","Rapidez","Computacion","Duda","Facil","Futuro",5,3,1,1,2,3,1,1,3,4,1,3,4,4,5,3,4,6,4,58,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,1,2,3,3,4,4,2,5,1,2,2,3,1,5,5,4,2,1,3,2,3,3,1,116
"117","Facilidad","Extremo","Vagos","Increible","Comodidad",3,4,4,3,4,3,2,3,3,5,1,3,2,3,4,3,2,4,7,24,"Mujer","Universitario o terciario","Entre trabajos o buscando empleo",4,4,2,2,1,4,3,5,2,5,3,1,1,1,2,3,5,3,5,3,3,3,2,3,2,3,117
"118","Tecnología","Automatización","Eficiencia","Cuidado","Reflexión",4,1,1,2,5,2,3,1,2,5,2,5,5,5,4,4,5,5,4,24,"Varón","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,3,3,2,1,2,5,4,4,4,5,1,1,1,1,1,5,4,1,1,4,1,2,1,1,118
"119","Internet","Avance","Robots","Profesional","Tecnología",4,1,1,1,3,1,2,1,1,5,4,5,5,5,5,5,5,3,3,25,"Mujer","Universitario o terciario","Ocupado/a en el cuidado de otras personas",4,4,4,2,3,1,2,5,4,5,3,1,1,1,3,1,5,3,5,4,3,5,1,1,4,3,119
"120","Tecnologia","Avance","Robot","Precision","Algoritmo",4,2,1,2,4,2,4,1,2,4,4,4,4,4,4,4,4,7,7,47,"Mujer","Posgrado","Ocupado/a en legales",3,3,3,2,3,3,4,4,4,2,4,4,2,2,3,3,4,3,3,2,3,2,2,2,3,1,120
"121","Chat GPT","Imágenes","Robótica","Avance","Ciencia",3,3,2,2,1,3,2,1,1,4,2,4,3,5,4,4,5,7,8,24,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,3,2,1,4,5,4,3,3,2,1,3,1,3,4,3,4,4,1,2,1,2,2,3,121
"122","Robot","Ficticio","Herramienta","Sustitución","Peligro",2,4,2,4,5,5,4,2,1,5,2,4,3,3,5,2,2,3,3,24,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,3,1,3,1,3,5,3,5,5,1,1,2,1,1,4,4,4,2,1,3,1,4,3,1,122
"123","Robot","Informatica","Digital","Videos","Edicion",3,3,1,2,5,3,4,1,4,5,1,4,4,5,5,3,5,4,2,48,"Varón","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,3,3,1,2,2,3,4,5,2,4,1,1,1,4,3,2,3,5,2,2,4,5,5,4,1,123
"124","Robot","Ayuda","Facilidad",".",".",2,2,3,2,2,3,2,2,3,4,3,3,3,4,4,4,3,4,2,41,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,1,3,3,4,4,5,3,4,2,1,1,2,3,4,4,5,4,1,4,1,1,3,1,124
"125","Tecnología","Avance","Inteligencia","Beneficios","Agilizar",5,4,1,1,3,2,3,1,2,5,4,5,5,5,5,4,4,5,5,30,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,1,2,1,2,5,3,2,3,3,1,3,4,1,3,4,4,2,1,4,1,4,4,2,125
"126","Aprender","Proceso","Autonomía","Robots","Automatización",3,3,2,2,3,3,3,1,3,4,2,3,3,4,4,2,3,5,4,29,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,3,1,3,5,4,3,5,2,1,2,2,1,3,3,5,3,1,2,1,2,2,1,126
"127","Algoritmos","Sesgos","Rapidez","Datos","Promesa",1,2,4,4,4,3,3,2,4,3,2,2,4,5,3,1,3,9,8,35,"Mujer","Posgrado","Entre trabajos o buscando empleo",4,3,2,3,2,2,5,5,3,4,5,2,2,2,3,2,5,5,4,3,1,1,1,2,3,2,127
"128","Innovacion","Rapidez","Agil","Aprendizaje","Digital",2,3,4,2,4,4,4,1,3,5,3,3,5,5,4,4,4,2,2,55,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",3,4,3,2,2,1,1,3,2,3,3,4,3,3,2,3,1,2,3,2,3,5,2,3,3,3,128
"129","Automatización","Internet","Network","Conexión","Información",2,3,1,1,3,3,2,1,3,4,2,5,5,5,5,3,4,6,6,28,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",2,3,3,3,2,1,1,4,3,1,3,3,2,2,5,1,3,4,5,1,1,5,1,3,2,1,129
"130","Información","Peligro","Posibilidad","Ética","Robot",1,3,3,2,4,4,4,4,3,5,2,4,4,5,5,3,4,7,7,24,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",4,4,3,2,2,2,2,4,1,1,2,4,2,3,4,3,2,3,1,1,3,4,2,4,2,2,130
"131","Automatización","Sistematización","Reservorio","Rapidez","Combinación",2,2,1,1,5,2,3,1,3,5,2,4,4,5,4,3,1,8,9,45,"Varón","Posgrado","Ocupado/a en servicios de salud",4,4,3,3,2,2,3,4,3,3,3,2,1,1,2,1,3,1,3,3,1,4,1,4,3,3,131
"132","Futuro","Chat GPT","Robot","Desempleo","Deshumanizacion",3,5,3,3,4,4,2,5,3,4,2,3,2,4,5,2,4,2,2,29,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,3,2,2,1,1,2,4,3,2,3,1,1,3,1,1,2,4,4,2,3,3,1,4,2,3,132
"133","Avance","Tecnologia","Inhumano","Desprolijo","Sesgado",1,4,4,4,1,5,1,5,4,2,1,1,2,1,1,2,2,6,5,33,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,2,2,2,5,4,4,3,4,1,2,3,4,3,3,4,2,2,4,2,2,2,3,133
"134","futuro","riesgo","cuidado","oportunidad","evolución",2,3,4,4,4,3,4,2,2,5,3,5,4,5,5,3,5,8,7,42,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,3,3,3,2,2,3,4,3,4,4,3,2,3,2,3,3,4,4,2,4,2,3,4,2,134
"135","Futuro","Avance","Retroceso","Precarización laboral","Inmediatez",5,3,2,3,4,3,3,3,3,3,4,3,4,4,3,3,1,5,5,47,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,3,2,2,1,4,4,4,2,5,1,1,4,4,1,5,4,5,3,1,3,1,2,3,1,135
"136","tecnología","velocidad","soluciones","robótica","miedo",4,4,3,3,5,5,2,3,5,5,3,4,4,5,5,5,5,2,3,40,"Mujer","Posgrado","Ocupado/a en administración o gestión",4,4,4,2,4,2,3,5,5,1,4,1,1,3,4,3,5,5,5,3,4,3,1,3,3,1,136
"137","innovación","Creatividad","productividad","sesgos","desarrollo",3,2,2,2,5,4,3,1,4,5,3,4,5,5,4,4,4,7,8,34,"Mujer","Universitario o terciario","Entre trabajos o buscando empleo",4,4,3,3,3,2,2,4,3,4,4,4,2,3,2,2,2,4,4,4,2,5,2,3,2,2,137
"138","Facilísimo","Miedo","Complemento","Herramienta","Rapidez",1,5,5,2,2,5,3,4,3,2,1,1,3,4,5,2,2,4,6,30,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,3,2,1,2,1,2,5,4,2,4,1,1,4,1,1,5,2,2,2,2,1,1,4,3,3,138
"139","Tecnologia","Actualidad","Herramienta","Utilidad","Cuidado",2,1,1,1,3,1,1,1,2,5,2,3,3,5,4,3,4,4,4,28,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,3,2,2,1,4,5,4,1,3,1,1,1,2,1,5,5,3,2,1,1,1,3,5,2,139
"140","Oportunidad","Desafío","Aceleración","Curiosidad","Cuidado",4,2,2,2,4,3,2,2,3,4,1,1,5,5,5,3,5,8,9,47,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,4,3,4,3,4,5,4,1,5,1,1,4,4,1,4,5,4,1,2,2,1,4,4,2,140
"141","Tecnología","Actualidad","Asistencia","Desafio","Futuro",2,4,3,1,5,2,2,1,4,4,3,4,3,4,4,3,4,6,6,54,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",2,3,3,2,2,2,3,3,4,3,3,1,1,1,2,1,2,3,5,3,1,4,1,1,3,3,141
"142","Chat gpt","Remplazo","Robot","Difícil","Útil",1,2,3,4,2,3,1,4,5,3,1,2,3,4,3,3,4,5,4,20,"Mujer","Universitario o terciario","Estudiante",4,4,2,2,1,1,4,3,5,2,4,1,2,1,2,3,4,2,5,3,3,3,1,1,4,1,142
"143","Robot","Datos","Computadora","Respuestas","Rapidez",1,3,4,3,1,3,1,4,4,4,1,4,2,4,5,2,1,4,3,23,"Mujer","Universitario o terciario","Estudiante",4,4,3,1,2,3,3,4,5,2,4,4,1,1,2,2,5,2,5,2,1,2,1,1,3,2,143
"144","Tecnología","Conspiración","Terminator","Miedo","Deshumanización",2,5,4,4,2,5,1,5,4,3,3,4,1,4,5,1,4,6,4,26,"Varón","Universitario o terciario","Estudiante",4,4,2,3,2,1,4,5,1,3,4,1,1,4,4,1,2,4,2,2,1,2,1,4,4,2,144
"145","Mente","Agilidad","Productividad","Digital","No tangible",1,2,3,3,4,4,3,2,5,4,1,2,4,5,3,3,2,8,8,29,"Varón","Posgrado","Ocupado/a en comunicación, arte, deportes, o entretenimiento",2,3,3,3,1,1,3,5,4,2,3,2,1,2,5,1,4,4,4,2,3,5,1,3,2,4,145
"146","brillante","futuro","nuevo","facilidad","tiempo",3,2,3,2,4,3,3,2,3,5,4,4,3,3,4,3,4,8,8,33,"Varón","Secundario","Ocupado/a en matemáticas o computación",4,4,3,3,2,1,4,4,4,3,3,4,4,2,2,3,2,3,5,3,3,3,3,1,3,3,146
"147","Facilidad","Comodidad","Adormecimiento","Obturar","Vacío",2,5,3,4,1,4,1,2,4,4,1,3,3,3,3,2,1,5,5,38,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,3,3,1,2,2,3,5,5,3,5,3,2,1,3,3,5,3,5,3,1,3,1,1,3,1,147
"148","cambio","innovación","desafío","peligro","futuro",3,2,3,3,4,3,3,3,2,4,3,4,4,4,4,3,4,5,7,56,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,2,1,4,5,4,3,4,1,5,2,2,1,4,5,4,4,2,3,1,1,1,1,148
"149","superficialidad","ficción","wikipedia","aprendizaje","manipulación",2,4,4,3,3,4,3,3,3,4,1,4,2,3,4,3,4,7,7,41,"Varón","Posgrado","Entre trabajos o buscando empleo",4,4,2,3,1,1,2,3,2,3,3,4,3,4,4,2,3,3,4,2,4,5,2,4,2,2,149
"150","Velocidad","Pensamiento","Artificial","no se","no se",3,4,2,1,5,4,4,3,3,4,3,5,5,5,5,3,4,6,6,55,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,2,2,1,3,3,3,2,4,2,2,3,3,1,4,4,4,3,1,2,1,2,4,3,150
"151","Ficticio","Herramienta","Fraude","Oportunidad","Miedo",2,3,2,1,3,4,2,2,4,4,2,4,2,4,4,2,4,6,5,35,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,1,4,4,4,3,2,4,1,1,2,3,1,4,3,4,2,1,2,1,2,3,1,151
"152","Innovación","Colaboración","Intriga","Desafío","curiosidad",2,1,1,1,3,1,5,1,1,4,5,5,5,5,4,4,5,5,9,49,"Varón","Posgrado","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,3,2,4,3,5,2,3,4,3,2,3,2,2,2,4,3,2,2,4,2,3,2,1,152
"153","Cansancio","Inquietud","Negocio","Preocupación","Vejez",1,5,3,2,1,5,1,2,5,3,2,2,3,5,5,3,3,4,2,58,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,1,2,2,3,5,3,1,4,2,1,1,1,1,2,5,5,2,1,3,1,1,4,1,153
"154","Poder","Posibilidad","Riesgo","Peligro","Tecnologia",1,4,4,5,5,5,5,4,5,3,3,4,5,4,5,2,4,4,6,33,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",2,4,2,3,2,2,2,4,3,2,4,5,2,2,2,1,2,2,5,3,2,4,2,4,2,2,154
"155","Computadora","Ayuda","Desafío","Plagio","Complicado",3,4,3,3,5,3,3,1,3,4,3,4,5,5,5,4,5,7,7,54,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,2,1,1,1,5,1,4,5,2,1,3,1,1,3,4,3,3,1,5,1,5,3,1,155
"156","Imagen","Cuenta","Tarea","Adolescentes","Trabajo",2,1,2,3,3,2,5,1,1,3,4,2,5,5,5,3,4,4,8,44,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,4,4,1,3,4,4,3,5,4,1,2,1,1,5,4,5,5,1,5,1,3,2,1,156
"157","Apertura","Crecimiento","Innovación","Cambio","Futuro",5,1,1,1,4,1,4,1,4,5,1,5,4,5,5,4,4,7,7,51,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,4,3,3,3,4,4,4,5,1,1,2,1,1,5,4,4,2,2,2,1,3,4,1,157
"158","Copia","Automático","Simulación","Irreal","Opción",1,2,5,3,1,3,1,5,5,3,1,1,3,3,4,3,1,2,2,48,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,1,2,2,4,5,5,5,5,1,3,1,1,2,1,3,5,4,4,4,1,1,5,1,158
"159","Progreso","Simplicidad","Avance","Fin de los tiempos","Revolución",2,5,5,3,5,5,3,3,5,5,1,5,5,5,5,5,5,4,10,41,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,3,1,4,1,5,5,4,3,3,1,1,1,1,3,5,5,5,2,1,1,1,3,1,159
"160","tecnologia","simplicidad","rapidez","precaucion","datos",1,4,2,3,4,5,2,1,2,4,1,2,2,5,5,4,3,3,3,23,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,1,1,3,5,4,1,3,4,1,1,2,2,4,4,5,2,1,5,2,1,4,2,160
"161","Rapidez","Procesamiento","Amplitud","Tecnología","Ingenio",3,2,2,2,2,2,2,2,4,2,2,4,5,5,2,2,4,4,4,30,"Mujer","Universitario o terciario","Estudiante",3,4,3,3,1,1,1,4,4,2,5,2,2,2,1,1,2,3,5,1,2,5,2,3,1,1,161
"162","Maquina","Robot","Cerebro","Digital","Imitación",4,2,1,1,3,3,2,4,1,2,5,5,5,5,3,3,1,4,4,27,"Varón","Universitario o terciario","Estudiante",4,4,1,2,1,1,1,2,1,1,2,5,5,2,3,3,1,1,5,2,5,5,3,3,1,4,162
"163","Futuro","Llegó","Crisis","Oportunidad","Incognita",4,3,3,3,4,3,3,3,3,4,2,4,4,4,4,4,4,7,7,64,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,3,4,4,3,4,4,2,4,2,2,2,2,1,2,2,4,2,2,4,2,2,4,2,163
"164","Catastrofe","velocidad","reemplazo","futuro","Maquina",1,5,4,3,5,5,4,4,3,3,1,2,3,4,5,2,2,5,3,28,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,2,1,1,4,1,2,3,5,2,1,2,1,1,3,3,3,1,4,2,5,2,2,164
"165","Rapidez","Riesgo","Comodidad","Pasividad","Avances",2,4,4,4,3,5,2,2,4,3,1,4,4,4,5,3,2,5,3,37,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,2,1,3,5,3,3,4,1,1,3,4,3,4,5,3,2,2,4,1,4,2,2,165
"166","Avances","Tecnología","Desarrollo","Riesgos","Futuro",1,2,3,2,3,4,2,2,1,3,3,3,3,4,4,2,3,3,1,42,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,2,2,1,1,1,3,5,4,2,3,3,1,2,3,2,3,4,5,3,2,5,1,2,3,2,166
"167","Futuro","Progreso","Crecimiento","Resolucion","Ayuda",5,1,1,1,5,1,5,1,1,5,5,5,5,5,5,5,5,7,8,53,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,4,4,4,2,4,5,5,3,4,2,2,1,4,1,4,3,5,3,1,2,1,1,2,1,167
"168","Herramienta de trabajo","Iinformativa","Imprecisa","Superficial","Recurso pedagógica",4,3,4,1,3,4,1,3,1,4,3,3,4,4,3,4,4,6,6,58,"Varón","Posgrado","Ocupado/a en servicios de salud",3,2,3,2,1,1,4,2,2,3,4,3,1,2,2,1,1,5,5,3,2,1,1,3,2,3,168
"169","Computadora","Pensar","Resolución de problemas","Recurso","Idealización",1,3,2,2,3,2,3,2,3,4,3,3,3,4,4,3,3,2,2,40,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,3,1,2,3,1,3,4,2,1,2,1,2,3,2,4,4,5,3,4,2,4,2,5,4,4,169
"170","Programa","Información","Informatica","Resolución","Problema",3,1,1,1,5,1,3,1,1,3,2,3,2,4,4,2,2,5,4,58,"Varón","Posgrado","Ocupado/a en servicios de salud",3,3,2,3,1,2,1,4,4,1,2,2,2,1,1,2,3,2,2,1,1,2,1,3,4,1,170
"171","Rapido,","Practico","Fluido","Permeable","Capaz",2,2,2,2,3,4,4,1,2,4,3,4,4,3,4,4,4,6,6,26,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,3,3,2,1,3,5,3,4,2,2,2,1,2,2,3,4,5,2,2,2,1,1,1,2,171
"172","Miedo","Humano","Robot","Mecánico","Tecnología",5,1,1,1,5,1,3,1,3,5,3,5,5,5,3,2,2,5,5,39,"Varón","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,2,2,4,1,3,3,3,2,3,3,2,1,2,1,2,3,1,3,1,2,1,1,3,3,172
