"","palabra_1","palabra_2","palabra_3","palabra_4","palabra_5","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip_1","minipip_2","minipip_3","minipip_4","minipip_5","minipip_6r","minipip_7r","minipip_8r","minipip_9r","minipip_10r","minipip_11","minipip_12","minipip_13","minipip_14","minipip_15r","minipip_16r","minipip_17r","minipip_18r","minipip_19r","minipip_20r","timestamp","id"
"78","Automatización","Promt","Agilidad","Innovación","Eficiencia",5,1,1,1,5,2,4,1,2,5,5,5,5,5,5,5,5,5,6,41,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,3,3,4,1,5,3,4,5,4,1,1,2,3,1,4,5,3,1,4,1,2,2,1,2024-04-19 14:39:13.493,78
"79","Chatbot","Modelo","Espejo","Educación","Velocidad",3,2,3,3,4,3,3,2,3,4,3,5,5,4,5,4,5,7,7,30,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",3,4,2,4,3,3,1,5,4,2,3,5,1,1,3,1,2,4,3,2,1,5,2,2,1,3,2024-04-19 14:39:31.11,79
"80","Aprendizaje automático","Imágenes creadas","Bots","Automatización","Robot",3,4,1,1,5,4,5,2,5,5,4,5,5,5,5,3,5,7,9,23,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,4,1,2,2,3,2,4,2,2,5,2,4,5,4,4,1,1,2,1,4,2,5,2024-04-19 14:54:55.871,80
"81","Internet","Robótico","Auonomía","Algoritmos","Retroalimentación",1,1,1,1,4,1,1,1,1,3,1,3,3,4,1,3,3,7,8,28,"Mujer","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,2,3,1,3,3,4,3,1,3,2,3,2,3,5,5,3,5,4,5,5,2,2,1,3,2024-04-19 15:02:03.646999,81
"82","Futuro","Eficiencia","Digitalización","Inseguridad","Aislación",2,1,2,1,5,5,5,1,3,4,5,5,5,5,5,5,5,7,9,34,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,3,3,4,3,5,5,3,4,2,1,1,4,2,4,5,5,3,1,3,4,1,4,1,2024-04-19 15:12:51.646,82
"83","Avance","Facilidad","Posibilidad","Regulación","Progreso",3,1,1,4,5,4,1,1,3,5,3,5,5,5,5,2,5,7,7,24,"Varón","Universitario o terciario","Estudiante",4,4,2,3,2,1,3,5,4,3,4,2,1,1,4,1,4,3,5,3,2,4,1,2,2,1,2024-04-19 15:15:18.178,83
"84","Novedad","Internet","Robot","Global","Raro",1,4,1,3,3,3,3,2,2,4,2,2,3,4,4,3,5,5,8,22,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,2,1,1,1,5,4,5,5,2,1,2,1,1,2,3,5,4,1,5,1,5,1,1,2024-04-19 15:54:48.105999,84
"85","Tecnología","Desarrollo","Posibilidades","Soluciones","Oportunidad",3,3,1,2,5,2,5,1,5,5,3,4,5,4,4,3,4,4,4,33,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,3,2,2,3,5,1,3,4,1,1,3,2,1,4,4,3,3,2,2,1,5,2,2,2024-04-19 16:09:36.647,85
"86","Tecnología","Software","Big data","Ilustraciones","Predicción",4,4,2,3,4,4,2,2,4,5,3,4,5,5,5,4,4,6,8,28,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,3,1,3,4,3,2,4,3,1,3,4,1,2,3,3,2,1,4,1,4,4,2,2024-04-19 16:24:40.885,86
"87","Tecnologia","Poder","Personas","Informacion","Riesgos",1,5,4,4,4,5,1,3,5,4,3,3,4,5,3,3,2,2,1,44,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,4,1,3,3,1,3,4,4,3,3,1,1,1,1,3,3,4,2,1,3,1,1,1,1,2024-04-19 16:48:17.495,87
"88","tecnología","computadora","robot","análisis de datos","futuro",4,5,5,1,2,3,1,1,4,5,3,5,5,5,3,4,5,7,7,55,"Mujer","Posgrado","Ocupado/a en administración o gestión",1,3,2,3,3,4,3,4,4,1,3,1,3,2,1,4,4,2,5,1,1,3,2,1,1,1,2024-04-19 17:12:05.675,88
"89","computadora","mente","automático","rapidez","datos",2,4,2,2,3,3,2,3,2,4,3,4,4,5,5,3,4,7,8,37,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,3,3,1,2,4,3,2,3,2,2,1,3,2,3,3,4,4,2,5,1,2,2,2,2024-04-19 18:03:51.009,89
"90","Probabilidad","Prediccion","Actualidad","Maquina","Asistente",3,1,1,1,4,2,4,1,2,5,3,5,5,5,5,4,5,9,8,23,"Varón","Universitario o terciario","Estudiante",4,4,2,4,3,2,3,4,4,2,4,1,3,4,2,2,3,2,4,2,2,2,1,2,3,2,2024-04-19 18:05:09.146,90
"91","DESUMANIZACION","MIEDO","DESEMPLEO","AUTIMATIZACION","FALTA DE RAZONAMIENTO",1,5,5,5,1,5,1,5,3,2,1,1,1,1,5,1,1,1,1,55,"Mujer","Universitario o terciario","Estudiante",4,3,4,1,1,1,1,5,3,3,3,5,3,3,3,5,3,4,3,3,5,5,3,3,3,3,2024-04-19 19:06:48.865,91
"92","Robots","Chatbots","Programación","Prompts","Research",1,2,3,1,3,2,1,2,3,3,1,3,4,3,3,3,2,7,6,52,"Mujer","Universitario o terciario","Entre trabajos o buscando empleo",4,4,2,3,2,1,2,5,5,3,4,1,1,1,3,3,3,4,5,3,2,4,1,1,3,2,2024-04-19 20:42:05.841,92
"93","Artificial","Manipulacion","Miedo","Increible","Inentendible",1,4,4,4,2,3,2,3,4,3,3,4,3,3,4,3,3,8,8,56,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,2,2,1,5,5,4,4,4,1,1,1,2,2,5,5,5,3,2,2,1,1,1,1,2024-04-19 22:41:31.811,93
"94","chatgpt","robot","escribir","programar","rapidez",1,4,3,4,3,4,2,3,3,3,1,3,5,3,4,1,3,5,5,39,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",3,3,2,2,2,1,1,4,3,2,3,2,1,3,2,2,3,3,3,2,2,4,1,3,2,3,2024-04-19 22:54:06.786,94
"95","computadora","ficcion","dominacion","reemplazo","peligro",2,5,5,5,1,5,1,5,1,2,1,2,1,3,5,1,1,5,6,22,"Mujer","Universitario o terciario","Estudiante",4,4,2,1,1,1,4,5,4,1,2,4,1,5,1,1,3,5,5,1,1,4,1,1,1,5,2024-04-19 23:04:05.174,95
"96","Automatización","Peligro","Masividad","Terminator","Ayuda",3,4,4,4,4,4,2,4,2,4,1,2,4,4,3,2,5,5,6,62,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,3,3,3,4,5,4,4,3,1,4,1,4,3,4,5,5,4,4,1,2,2,1,2024-04-19 23:16:59.248,96
"97","Actualidad","Poderoso","Aplicabilidad","Solución","Problema",2,1,2,1,3,3,2,1,4,5,2,4,4,4,4,4,5,4,4,27,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,3,4,2,2,5,2,3,2,2,1,4,2,2,4,4,4,1,2,5,1,2,2,2,2024-04-19 23:26:00.232,97
"98","Trabajo","Tecnología","Lenguaje","Herramienta","Útil",2,2,2,1,5,2,1,2,1,4,2,4,3,5,5,2,5,4,7,20,"Mujer","Universitario o terciario","Estudiante",4,4,2,3,1,1,1,5,2,4,4,5,1,4,2,1,1,5,3,1,1,5,1,4,2,2,2024-04-19 23:58:12.126,98
"99","Oportunidad","Responsabilidad","Estudiantes","Rol docente","Barrera",3,1,1,1,4,5,1,3,3,5,1,5,1,5,5,2,5,6,8,45,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",2,4,2,2,2,4,4,5,5,1,4,1,1,4,5,1,5,5,5,1,1,4,1,1,1,1,2024-04-20 08:10:57.49,99
"100","Practicidad","Ahorro de tiempo","Sistematización","Automatizacion","Limites",5,3,1,1,5,1,5,1,3,5,3,4,5,5,5,3,5,6,6,49,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,4,4,1,4,4,4,3,4,2,4,2,3,2,3,4,4,2,2,3,3,1,3,2,2024-04-20 11:27:07.613,100
"101","Tecnología","Datos","Internet","Control","Robotica",2,4,4,4,3,4,2,3,5,4,3,5,4,3,4,3,4,4,7,27,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",4,4,1,3,2,2,2,5,3,4,4,2,2,4,2,1,4,4,4,5,2,4,2,5,2,2,2024-04-20 12:40:48.671,101
"102","Futuro","Ciencia-ficción","Tecnología","Avances","Robot",2,3,4,5,1,5,2,5,4,5,3,4,5,4,4,3,2,2,1,33,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,4,1,2,1,3,5,3,3,4,1,3,1,3,2,2,5,5,4,1,3,3,1,2,1,2024-04-20 13:24:47.534,102
"103","Modernidad","Computadora","Máquinas","No humano","Desempleo",3,4,2,3,4,3,3,2,3,4,3,3,4,4,4,2,4,3,3,37,"Varón","Posgrado","Ocupado/a en legales",4,4,4,3,3,2,4,4,2,1,4,4,1,2,3,4,4,4,5,1,2,4,1,1,5,2,2024-04-20 13:45:55.857,103
"104","Información","Ayuda","Contenido","Aliado","Generar",2,1,2,1,4,1,3,1,1,5,4,4,5,5,5,5,5,4,4,48,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,2,2,3,5,5,1,5,1,1,1,1,1,5,5,5,1,1,4,1,3,3,1,2024-04-20 14:05:49.991,104
"105","Automatizacion","Resolucion","Maquina","Rapidez","Comodidad",4,1,1,1,4,2,4,1,1,4,3,4,5,5,4,5,5,8,7,39,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",1,2,3,2,2,1,1,5,4,1,3,4,5,3,2,2,4,5,5,1,2,5,1,1,4,3,2024-04-20 14:06:37.107,105
"106","Robot","Futuro","Cambios","Invensión","Dinero",1,3,1,5,5,5,5,5,5,5,1,5,5,5,5,3,5,2,2,46,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,1,1,1,5,3,5,3,5,1,2,1,1,1,4,3,5,1,1,1,1,1,1,1,2024-04-20 14:26:13.973,106
"107","CHATGPT","Datos personales","OPEN AI","Imágenes","Programación",2,3,2,4,3,4,2,1,3,4,4,4,4,4,4,3,4,8,8,25,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,4,3,2,3,4,3,4,5,4,3,4,2,4,3,2,3,4,1,3,1,4,3,1,2024-04-20 16:02:12.971,107
"108","Trabajo","Tiempo","Peligro","Descubrimiento","Solución",2,5,5,3,3,4,2,1,2,4,1,4,2,5,4,3,5,6,7,24,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,3,2,2,2,1,1,4,4,3,2,2,1,3,2,1,1,3,5,4,1,4,1,2,3,4,2024-04-20 19:23:45.356,108
"109","Facil","Avance","Futuro","Desempleo","Libertad",4,1,4,3,2,4,1,4,4,2,3,1,2,1,1,2,2,9,7,65,"Varón","Posgrado","Ocupado/a en administración o gestión",4,4,2,2,2,3,3,5,5,2,5,1,1,1,5,1,5,5,4,1,1,1,1,1,4,1,2024-04-20 22:06:27.108,109
"110","Tecnología","Curiosidad","Herramienta","Información","Interacción",3,1,1,2,3,2,2,1,3,4,4,5,4,4,4,4,3,5,7,35,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,2,3,5,3,2,3,2,1,2,3,1,2,4,4,2,1,4,1,4,3,2,2024-04-21 09:13:25.668,110
"111","Estadística","Computación","Robot","Automatización","Humano",4,3,3,2,4,2,3,1,3,5,2,4,5,2,4,3,5,8,7,37,"Mujer","Posgrado","Ocupado/a en matemáticas o computación",4,4,3,2,2,3,3,4,4,2,3,4,2,2,4,2,2,4,4,3,2,4,1,3,4,2,2024-04-21 13:29:53.536,111
"112","Cambio","Temor","Maravilloso","Ayuda","Facilidad",5,4,2,2,4,3,3,1,2,4,4,4,4,5,5,4,4,5,7,58,"Mujer","Universitario o terciario","No trabaja o jubilado/a",4,4,4,1,3,1,2,4,5,3,4,3,1,1,1,2,3,4,5,3,3,5,2,2,3,2,2024-04-21 17:14:14.739,112
"113","Novedad","Progreso","Skynet","Herramienta","Desafío",4,4,1,1,5,4,3,1,3,5,5,5,4,4,5,3,5,8,8,26,"Varón","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,4,4,2,2,4,3,1,4,3,4,2,3,1,2,4,5,3,1,3,1,1,2,1,2024-04-21 22:09:40.05,113
"114","Tecnologia","Deshumanizacion","Informacion","Almacenamiento de datos","Rapidez",3,3,3,3,5,1,3,1,3,5,3,5,5,5,3,5,3,8,8,56,"Mujer","Posgrado","Ocupado/a en legales",3,4,4,3,2,2,3,4,4,3,2,2,1,1,2,3,2,4,5,2,3,5,1,1,3,4,2024-04-21 22:23:17.033,114
"115","Solucion","Rapida","Información","Riesgo","Resumen",5,5,2,4,3,4,2,1,3,4,3,5,3,4,5,4,5,4,7,37,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,3,2,1,1,2,5,4,2,5,3,1,1,2,1,3,5,5,4,1,3,1,1,1,1,2024-04-21 22:27:18.422,115
"116","Rapidez","Computacion","Duda","Facil","Futuro",5,3,1,1,2,3,1,1,3,4,1,3,4,4,5,3,4,6,4,58,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,1,2,3,3,4,4,2,5,1,2,2,3,1,5,5,4,2,1,3,2,3,3,1,2024-04-21 22:27:43.006,116
"117","Facilidad","Extremo","Vagos","Increible","Comodidad",3,4,4,3,4,3,2,3,3,5,1,3,2,3,4,3,2,4,7,24,"Mujer","Universitario o terciario","Entre trabajos o buscando empleo",4,4,2,2,1,4,3,5,2,5,3,1,1,1,2,3,5,3,5,3,3,3,2,3,2,3,2024-04-21 22:32:30.046,117
"118","Tecnología","Automatización","Eficiencia","Cuidado","Reflexión",4,1,1,2,5,2,3,1,2,5,2,5,5,5,4,4,5,5,4,24,"Varón","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,3,3,2,1,2,5,4,4,4,5,1,1,1,1,1,5,4,1,1,4,1,2,1,1,2024-04-21 22:33:35.985,118
"119","Internet","Avance","Robots","Profesional","Tecnología",4,1,1,1,3,1,2,1,1,5,4,5,5,5,5,5,5,3,3,25,"Mujer","Universitario o terciario","Ocupado/a en el cuidado de otras personas",4,4,4,2,3,1,2,5,4,5,3,1,1,1,3,1,5,3,5,4,3,5,1,1,4,3,2024-04-21 22:54:27.655,119
"120","Tecnologia","Avance","Robot","Precision","Algoritmo",4,2,1,2,4,2,4,1,2,4,4,4,4,4,4,4,4,7,7,47,"Mujer","Posgrado","Ocupado/a en legales",3,3,3,2,3,3,4,4,4,2,4,4,2,2,3,3,4,3,3,2,3,2,2,2,3,1,2024-04-21 23:05:48.731,120
"121","Chat GPT","Imágenes","Robótica","Avance","Ciencia",3,3,2,2,1,3,2,1,1,4,2,4,3,5,4,4,5,7,8,24,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,3,2,1,4,5,4,3,3,2,1,3,1,3,4,3,4,4,1,2,1,2,2,3,2024-04-21 23:09:20.381,121
"122","Robot","Ficticio","Herramienta","Sustitución","Peligro",2,4,2,4,5,5,4,2,1,5,2,4,3,3,5,2,2,3,3,24,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,3,1,3,1,3,5,3,5,5,1,1,2,1,1,4,4,4,2,1,3,1,4,3,1,2024-04-22 00:16:10.549,122
"123","Robot","Informatica","Digital","Videos","Edicion",3,3,1,2,5,3,4,1,4,5,1,4,4,5,5,3,5,4,2,48,"Varón","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,3,3,1,2,2,3,4,5,2,4,1,1,1,4,3,2,3,5,2,2,4,5,5,4,1,2024-04-22 06:51:37.018,123
"124","Robot","Ayuda","Facilidad",".",".",2,2,3,2,2,3,2,2,3,4,3,3,3,4,4,4,3,4,2,41,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,1,3,3,4,4,5,3,4,2,1,1,2,3,4,4,5,4,1,4,1,1,3,1,2024-04-22 07:05:57.008,124
"125","Tecnología","Avance","Inteligencia","Beneficios","Agilizar",5,4,1,1,3,2,3,1,2,5,4,5,5,5,5,4,4,5,5,30,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,1,2,1,2,5,3,2,3,3,1,3,4,1,3,4,4,2,1,4,1,4,4,2,2024-04-22 07:23:01.206,125
"126","Aprender","Proceso","Autonomía","Robots","Automatización",3,3,2,2,3,3,3,1,3,4,2,3,3,4,4,2,3,5,4,29,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,3,1,3,5,4,3,5,2,1,2,2,1,3,3,5,3,1,2,1,2,2,1,2024-04-22 07:29:52.328,126
"127","Algoritmos","Sesgos","Rapidez","Datos","Promesa",1,2,4,4,4,3,3,2,4,3,2,2,4,5,3,1,3,9,8,35,"Mujer","Posgrado","Entre trabajos o buscando empleo",4,3,2,3,2,2,5,5,3,4,5,2,2,2,3,2,5,5,4,3,1,1,1,2,3,2,2024-04-22 08:45:45.953001,127
"128","Innovacion","Rapidez","Agil","Aprendizaje","Digital",2,3,4,2,4,4,4,1,3,5,3,3,5,5,4,4,4,2,2,55,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",3,4,3,2,2,1,1,3,2,3,3,4,3,3,2,3,1,2,3,2,3,5,2,3,3,3,2024-04-22 09:01:42.937,128
"129","Automatización","Internet","Network","Conexión","Información",2,3,1,1,3,3,2,1,3,4,2,5,5,5,5,3,4,6,6,28,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",2,3,3,3,2,1,1,4,3,1,3,3,2,2,5,1,3,4,5,1,1,5,1,3,2,1,2024-04-22 09:35:41.210999,129
"130","Información","Peligro","Posibilidad","Ética","Robot",1,3,3,2,4,4,4,4,3,5,2,4,4,5,5,3,4,7,7,24,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",4,4,3,2,2,2,2,4,1,1,2,4,2,3,4,3,2,3,1,1,3,4,2,4,2,2,2024-04-22 10:23:01.884,130
"131","Automatización","Sistematización","Reservorio","Rapidez","Combinación",2,2,1,1,5,2,3,1,3,5,2,4,4,5,4,3,1,8,9,45,"Varón","Posgrado","Ocupado/a en servicios de salud",4,4,3,3,2,2,3,4,3,3,3,2,1,1,2,1,3,1,3,3,1,4,1,4,3,3,2024-04-22 11:04:05.627,131
"132","Futuro","Chat GPT","Robot","Desempleo","Deshumanizacion",3,5,3,3,4,4,2,5,3,4,2,3,2,4,5,2,4,2,2,29,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,3,2,2,1,1,2,4,3,2,3,1,1,3,1,1,2,4,4,2,3,3,1,4,2,3,2024-04-22 11:22:06.889,132
"133","Avance","Tecnologia","Inhumano","Desprolijo","Sesgado",1,4,4,4,1,5,1,5,4,2,1,1,2,1,1,2,2,6,5,33,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,2,2,2,5,4,4,3,4,1,2,3,4,3,3,4,2,2,4,2,2,2,3,2024-04-22 12:45:23.707,133
"134","futuro","riesgo","cuidado","oportunidad","evolución",2,3,4,4,4,3,4,2,2,5,3,5,4,5,5,3,5,8,7,42,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,3,3,3,2,2,3,4,3,4,4,3,2,3,2,3,3,4,4,2,4,2,3,4,2,2024-04-22 13:31:44.738,134
"135","Futuro","Avance","Retroceso","Precarización laboral","Inmediatez",5,3,2,3,4,3,3,3,3,3,4,3,4,4,3,3,1,5,5,47,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,3,2,2,1,4,4,4,2,5,1,1,4,4,1,5,4,5,3,1,3,1,2,3,1,2024-04-22 13:56:45.966,135
"136","tecnología","velocidad","soluciones","robótica","miedo",4,4,3,3,5,5,2,3,5,5,3,4,4,5,5,5,5,2,3,40,"Mujer","Posgrado","Ocupado/a en administración o gestión",4,4,4,2,4,2,3,5,5,1,4,1,1,3,4,3,5,5,5,3,4,3,1,3,3,1,2024-04-22 14:00:18.974,136
"137","innovación","Creatividad","productividad","sesgos","desarrollo",3,2,2,2,5,4,3,1,4,5,3,4,5,5,4,4,4,7,8,34,"Mujer","Universitario o terciario","Entre trabajos o buscando empleo",4,4,3,3,3,2,2,4,3,4,4,4,2,3,2,2,2,4,4,4,2,5,2,3,2,2,2024-04-22 14:16:33.803,137
"138","Facilísimo","Miedo","Complemento","Herramienta","Rapidez",1,5,5,2,2,5,3,4,3,2,1,1,3,4,5,2,2,4,6,30,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,3,2,1,2,1,2,5,4,2,4,1,1,4,1,1,5,2,2,2,2,1,1,4,3,3,2024-04-22 14:18:43.475,138
"139","Tecnologia","Actualidad","Herramienta","Utilidad","Cuidado",2,1,1,1,3,1,1,1,2,5,2,3,3,5,4,3,4,4,4,28,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,3,2,2,1,4,5,4,1,3,1,1,1,2,1,5,5,3,2,1,1,1,3,5,2,2024-04-22 14:29:26.936999,139
"140","Oportunidad","Desafío","Aceleración","Curiosidad","Cuidado",4,2,2,2,4,3,2,2,3,4,1,1,5,5,5,3,5,8,9,47,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,4,3,4,3,4,5,4,1,5,1,1,4,4,1,4,5,4,1,2,2,1,4,4,2,2024-04-22 18:52:09.903,140
"141","Tecnología","Actualidad","Asistencia","Desafio","Futuro",2,4,3,1,5,2,2,1,4,4,3,4,3,4,4,3,4,6,6,54,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",2,3,3,2,2,2,3,3,4,3,3,1,1,1,2,1,2,3,5,3,1,4,1,1,3,3,2024-04-22 19:09:27.309,141
"142","Chat gpt","Remplazo","Robot","Difícil","Útil",1,2,3,4,2,3,1,4,5,3,1,2,3,4,3,3,4,5,4,20,"Mujer","Universitario o terciario","Estudiante",4,4,2,2,1,1,4,3,5,2,4,1,2,1,2,3,4,2,5,3,3,3,1,1,4,1,2024-04-22 19:21:18.827,142
"143","Robot","Datos","Computadora","Respuestas","Rapidez",1,3,4,3,1,3,1,4,4,4,1,4,2,4,5,2,1,4,3,23,"Mujer","Universitario o terciario","Estudiante",4,4,3,1,2,3,3,4,5,2,4,4,1,1,2,2,5,2,5,2,1,2,1,1,3,2,2024-04-22 19:22:23.778,143
"144","Tecnología","Conspiración","Terminator","Miedo","Deshumanización",2,5,4,4,2,5,1,5,4,3,3,4,1,4,5,1,4,6,4,26,"Varón","Universitario o terciario","Estudiante",4,4,2,3,2,1,4,5,1,3,4,1,1,4,4,1,2,4,2,2,1,2,1,4,4,2,2024-04-22 19:37:16.096,144
"145","Mente","Agilidad","Productividad","Digital","No tangible",1,2,3,3,4,4,3,2,5,4,1,2,4,5,3,3,2,8,8,29,"Varón","Posgrado","Ocupado/a en comunicación, arte, deportes, o entretenimiento",2,3,3,3,1,1,3,5,4,2,3,2,1,2,5,1,4,4,4,2,3,5,1,3,2,4,2024-04-22 19:58:33.947,145
"146","brillante","futuro","nuevo","facilidad","tiempo",3,2,3,2,4,3,3,2,3,5,4,4,3,3,4,3,4,8,8,33,"Varón","Secundario","Ocupado/a en matemáticas o computación",4,4,3,3,2,1,4,4,4,3,3,4,4,2,2,3,2,3,5,3,3,3,3,1,3,3,2024-04-23 07:44:11.167,146
"147","Facilidad","Comodidad","Adormecimiento","Obturar","Vacío",2,5,3,4,1,4,1,2,4,4,1,3,3,3,3,2,1,5,5,38,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,3,3,1,2,2,3,5,5,3,5,3,2,1,3,3,5,3,5,3,1,3,1,1,3,1,2024-04-23 07:55:59.749,147
"148","cambio","innovación","desafío","peligro","futuro",3,2,3,3,4,3,3,3,2,4,3,4,4,4,4,3,4,5,7,56,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,2,1,4,5,4,3,4,1,5,2,2,1,4,5,4,4,2,3,1,1,1,1,2024-04-23 08:19:32.917,148
"149","superficialidad","ficción","wikipedia","aprendizaje","manipulación",2,4,4,3,3,4,3,3,3,4,1,4,2,3,4,3,4,7,7,41,"Varón","Posgrado","Entre trabajos o buscando empleo",4,4,2,3,1,1,2,3,2,3,3,4,3,4,4,2,3,3,4,2,4,5,2,4,2,2,2024-04-23 09:02:51.313,149
"150","Velocidad","Pensamiento","Artificial","no se","no se",3,4,2,1,5,4,4,3,3,4,3,5,5,5,5,3,4,6,6,55,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,2,2,1,3,3,3,2,4,2,2,3,3,1,4,4,4,3,1,2,1,2,4,3,2024-04-23 09:36:40.862999,150
"151","Ficticio","Herramienta","Fraude","Oportunidad","Miedo",2,3,2,1,3,4,2,2,4,4,2,4,2,4,4,2,4,6,5,35,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,1,4,4,4,3,2,4,1,1,2,3,1,4,3,4,2,1,2,1,2,3,1,2024-04-23 12:22:58.754,151
"152","Innovación","Colaboración","Intriga","Desafío","curiosidad",2,1,1,1,3,1,5,1,1,4,5,5,5,5,4,4,5,5,9,49,"Varón","Posgrado","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,3,2,4,3,5,2,3,4,3,2,3,2,2,2,4,3,2,2,4,2,3,2,1,2024-04-23 13:32:40.384,152
"153","Cansancio","Inquietud","Negocio","Preocupación","Vejez",1,5,3,2,1,5,1,2,5,3,2,2,3,5,5,3,3,4,2,58,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,1,2,2,3,5,3,1,4,2,1,1,1,1,2,5,5,2,1,3,1,1,4,1,2024-04-23 13:47:50.881,153
"154","Poder","Posibilidad","Riesgo","Peligro","Tecnologia",1,4,4,5,5,5,5,4,5,3,3,4,5,4,5,2,4,4,6,33,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",2,4,2,3,2,2,2,4,3,2,4,5,2,2,2,1,2,2,5,3,2,4,2,4,2,2,2024-04-24 15:38:47.818,154
"155","Computadora","Ayuda","Desafío","Plagio","Complicado",3,4,3,3,5,3,3,1,3,4,3,4,5,5,5,4,5,7,7,54,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,2,1,1,1,5,1,4,5,2,1,3,1,1,3,4,3,3,1,5,1,5,3,1,2024-04-24 22:44:24.687,155
"156","Imagen","Cuenta","Tarea","Adolescentes","Trabajo",2,1,2,3,3,2,5,1,1,3,4,2,5,5,5,3,4,4,8,44,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,4,4,1,3,4,4,3,5,4,1,2,1,1,5,4,5,5,1,5,1,3,2,1,2024-04-24 22:50:50.779,156
