"","id","orden","palabra","evoc_id"
"796",160,1,"tecnologia","160-1"
"797",160,2,"simplicidad","160-2"
"798",160,3,"rapidez","160-3"
"799",160,4,"precaucion","160-4"
"800",160,5,"datos","160-5"
"801",161,1,"rapidez","161-1"
"802",161,2,"procesamiento","161-2"
"803",161,3,"amplitud","161-3"
"804",161,4,"tecnología","161-4"
"805",161,5,"ingenio","161-5"
"806",162,1,"maquina","162-1"
"807",162,2,"robot","162-2"
"808",162,3,"cerebro","162-3"
"809",162,4,"digital","162-4"
"810",162,5,"imitación","162-5"
"811",163,1,"futuro","163-1"
"812",163,2,"llegó","163-2"
"813",163,3,"crisis","163-3"
"814",163,4,"oportunidad","163-4"
"815",163,5,"incognita","163-5"
"816",164,1,"catastrofe","164-1"
"817",164,2,"velocidad","164-2"
"818",164,3,"reemplazo","164-3"
"819",164,4,"futuro","164-4"
"820",164,5,"maquina","164-5"
"821",165,1,"rapidez","165-1"
"822",165,2,"riesgo","165-2"
"823",165,3,"comodidad","165-3"
"824",165,4,"pasividad","165-4"
"825",165,5,"avances","165-5"
"826",166,1,"avances","166-1"
"827",166,2,"tecnología","166-2"
"828",166,3,"desarrollo","166-3"
"829",166,4,"riesgos","166-4"
"830",166,5,"futuro","166-5"
"831",167,1,"futuro","167-1"
"832",167,2,"progreso","167-2"
"833",167,3,"crecimiento","167-3"
"834",167,4,"resolucion","167-4"
"835",167,5,"ayuda","167-5"
"836",168,1,"herramienta de trabajo","168-1"
"837",168,2,"iinformativa","168-2"
"838",168,3,"imprecisa","168-3"
"839",168,4,"superficial","168-4"
"840",168,5,"recurso pedagógica","168-5"
"841",169,1,"computadora","169-1"
"842",169,2,"pensar","169-2"
"843",169,3,"resolución de problemas","169-3"
"844",169,4,"recurso","169-4"
"845",169,5,"idealización","169-5"
"846",170,1,"programa","170-1"
"847",170,2,"información","170-2"
"848",170,3,"informatica","170-3"
"849",170,4,"resolución","170-4"
"850",170,5,"problema","170-5"
"851",171,1,"rapido,","171-1"
"852",171,2,"practico","171-2"
"853",171,3,"fluido","171-3"
"854",171,4,"permeable","171-4"
"855",171,5,"capaz","171-5"
"856",172,1,"miedo","172-1"
"857",172,2,"humano","172-2"
"858",172,3,"robot","172-3"
"859",172,4,"mecánico","172-4"
"860",172,5,"tecnología","172-5"
"861",173,1,"esclavitud","173-1"
"862",173,2,"dependencia","173-2"
"863",173,3,"dominio","173-3"
"864",173,4,"obligacion","173-4"
"865",173,5,"herramienta","173-5"
"866",174,1,"ayuda","174-1"
"867",174,2,"desconfianza","174-2"
"868",174,3,"criterios","174-3"
"869",174,4,"revisión","174-4"
"870",174,5,"evolución","174-5"
"871",175,1,"trampa","175-1"
"872",175,2,"plagio","175-2"
"873",175,3,"ayuda","175-3"
"874",175,4,"herramienta","175-4"
"875",175,5,"diversión","175-5"
"876",176,1,"computadora","176-1"
"877",176,2,"estadística","176-2"
"878",176,3,"programación","176-3"
"879",176,4,"error","176-4"
"880",176,5,"cuidado","176-5"
"881",177,1,"computadora","177-1"
"882",177,2,"futuro","177-2"
"883",177,3,"incertidumbre","177-3"
"884",177,4,"ciencia ficción","177-4"
"885",177,5,"desafío","177-5"
"886",178,1,"rapidez","178-1"
"887",178,2,"reemplazo","178-2"
"888",178,3,"tecnología","178-3"
"889",178,4,"avsnces","178-4"
"890",178,5,"cambio","178-5"
"891",179,1,"regulaciones","179-1"
"892",179,2,"robots","179-2"
"893",179,3,"riesgos","179-3"
"894",179,4,"desempleo","179-4"
"895",179,5,"complejo","179-5"
"896",180,1,"copia","180-1"
"897",180,2,"irreal","180-2"
"898",180,3,"es como un sueño interpretado","180-3"
"899",180,4,"miedo","180-4"
"900",180,5,"tonos oscuros","180-5"
"901",181,1,"ubicuidad","181-1"
"902",181,2,"conciencia","181-2"
"903",181,3,"derechos","181-3"
"904",181,4,"libertad","181-4"
"905",181,5,"preocupacion","181-5"
"906",182,1,"robots","182-1"
"907",182,2,"chat gtp","182-2"
"908",182,3,"datos","182-3"
"909",182,4,"rapidez","182-4"
"910",182,5,"volumen","182-5"
"911",183,1,"asistencia","183-1"
"912",183,2,"posible","183-2"
"913",183,3,"difícil","183-3"
"914",183,4,"inquietante","183-4"
"915",183,5,"futuro","183-5"
"916",184,1,"computadora","184-1"
"917",184,2,"redes sociales","184-2"
"918",184,3,"algoritmo","184-3"
"919",184,4,"robot","184-4"
"920",184,5,"técnica","184-5"
"921",185,1,"ayuda","185-1"
"922",185,2,"facilidad","185-2"
"923",185,3,"accesibilidad","185-3"
"924",185,4,"respuestas","185-4"
"925",185,5,"productividad","185-5"
"926",186,1,"robot","186-1"
"927",186,2,"estudio","186-2"
"928",186,3,"futuro","186-3"
"929",186,4,"responsabilidad","186-4"
"930",186,5,"aplicacion","186-5"
"931",187,1,"ayuda","187-1"
"932",187,2,"ideas","187-2"
"933",187,3,"rapidez","187-3"
"934",187,4,"facilidad","187-4"
"935",187,5,"recurso","187-5"
"936",188,1,"tecnología","188-1"
"937",188,2,"red","188-2"
"938",188,3,"comunicación","188-3"
"939",188,4,"propuesta","188-4"
"940",188,5,"trayecto","188-5"
"941",189,1,"robot","189-1"
"942",189,2,"automatización","189-2"
"943",189,3,"asombro","189-3"
"944",189,4,"incertidumbre","189-4"
"945",189,5,"enigma","189-5"
"946",190,1,"evolución","190-1"
"947",190,2,"desarrollo","190-2"
"948",190,3,"conocimiento","190-3"
"949",190,4,"asistencia","190-4"
"950",190,5,"soporte","190-5"
"951",191,1,"innovación","191-1"
"952",191,2,"creación","191-2"
"953",191,3,"contenido","191-3"
"954",191,4,"peligroso","191-4"
"955",191,5,"progreso","191-5"
"956",192,1,"herramienta","192-1"
"957",192,2,"complemento","192-2"
"958",192,3,"facilidad","192-3"
"959",192,4,"transhumanismo","192-4"
"960",192,5,"cibernética","192-5"
"961",193,1,"tecnologia","193-1"
"962",193,2,"avances","193-2"
"963",193,3,"innovación","193-3"
"964",193,4,"agilidad","193-4"
"965",193,5,"productividad","193-5"
"966",194,1,"robot","194-1"
"967",194,2,"búsqueda","194-2"
"968",194,3,"herramienta","194-3"
"969",194,4,"desarrollo","194-4"
"970",194,5,"cuidado","194-5"
"971",195,1,"herramienta","195-1"
"972",195,2,"utilidad","195-2"
"973",195,3,"velocidad","195-3"
"974",195,4,"responsabilidad","195-4"
"975",195,5,"adaptación","195-5"
"976",196,1,"futuro","196-1"
"977",196,2,"robot","196-2"
"978",196,3,"avance","196-3"
"979",196,4,"intelegencia","196-4"
"980",196,5,"datos","196-5"
"981",197,1,"tecnologia","197-1"
"982",197,2,"robots","197-2"
"983",197,3,"ciencia","197-3"
"984",197,4,"futuro","197-4"
"985",197,5,"cambios","197-5"
"986",198,1,"dispositivo","198-1"
"987",198,2,"aplicacion","198-2"
"988",198,3,"chat gpt","198-3"
"989",198,4,"prompt","198-4"
"990",198,5,"facil","198-5"
"991",199,1,"gpt","199-1"
"992",199,2,"generativa","199-2"
"993",199,3,"saber","199-3"
"994",199,4,"copiloto","199-4"
"995",199,5,"respuestas","199-5"
"996",200,1,"presente","200-1"
"997",200,2,"futuro","200-2"
"998",200,3,"tecnología","200-3"
"999",200,4,"posibilidades","200-4"
"1000",200,5,"avance","200-5"
"1001",201,1,"tecnología","201-1"
"1002",201,2,"digitalidad","201-2"
"1003",201,3,"aceleración","201-3"
"1004",201,4,"automatización","201-4"
"1005",201,5,"desarollo","201-5"
"1006",202,1,"desconfianza","202-1"
"1007",202,2,"peligro","202-2"
"1008",202,3,"control","202-3"
"1009",202,4,"avance tecnologico","202-4"
"1010",202,5,"manipulable","202-5"
